11:44:27  |  Core  |  Info  |  Register value : 'HCenter' = 0  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  228
11:44:27  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  229
11:44:27  |  Core  |  Info  |  Register value : 'Center' = 0  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  230
11:44:27  |  Core  |  Info  |  Register value : 'Left' = 2  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  231
11:44:27  |  Core  |  Info  |  Register value : 'Right' = 4  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  232
11:44:27  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  233
11:44:27  |  Core  |  Info  |  Register value : 'Top' = 8  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  234
11:44:27  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  235
11:44:27  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  236
11:44:27  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  237
11:44:27  |  Core  |  Info  |  Register value : 'Default' = 10  |  c:\users\aramis\documents\pesteteamrepo\pesteteam\dependencies\mygui\myguiengine\include\MyGUI_Align.h  |  238
11:44:27  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  C:\Users\Aramis\Documents\PesteTeamRepo\PesteTeam\Dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
11:44:27  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  C:\Users\Aramis\Documents\PesteTeamRepo\PesteTeam\Dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
11:44:27  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  C:\Users\Aramis\Documents\PesteTeamRepo\PesteTeam\Dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
11:44:27  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  C:\Users\Aramis\Documents\PesteTeamRepo\PesteTeam\Dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
11:44:27  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  C:\Users\Aramis\Documents\PesteTeamRepo\PesteTeam\Dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
11:44:27  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  C:\Users\Aramis\Documents\PesteTeamRepo\PesteTeam\Dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
11:44:27  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  C:\Users\Aramis\Documents\PesteTeamRepo\PesteTeam\Dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
11:44:27  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  C:\Users\Aramis\Documents\PesteTeamRepo\PesteTeam\Dependencies\mygui\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  114
11:44:27  |  Core  |  Info  |  Gui successfully initialized  |  C:\Users\Aramis\Documents\PesteTeamRepo\PesteTeam\Dependencies\mygui\MyGUIEngine\src\MyGUI_Gui.cpp  |  111
